# mission_day, lat, long, alt, B decl, B incl, B mag (T), sun horizon alt, sun azimuth (E from N), phi (sun to field, deg), torque (Nm)
0.113, -78.6914, 166.986, 36.8920, 143.550, -79.933, 6.08144e-05, 3.31587e+01, 330.030, 110.391, 11.048
0.113, -78.6918, 166.977, 36.8918, 143.567, -79.933, 6.08145e-05, 3.31428e+01, 329.859, 110.424, 11.062
0.114, -78.6922, 166.971, 36.8916, 143.567, -79.933, 6.08146e-05, 3.31307e+01, 329.729, 110.436, 11.067
0.114, -78.6922, 166.970, 36.8916, 143.567, -79.933, 6.08146e-05, 3.31294e+01, 329.714, 110.437, 11.067
0.114, -78.6932, 166.955, 36.9308, 143.600, -79.933, 6.08134e-05, 3.31036e+01, 329.441, 110.496, 11.091
0.114, -78.6933, 166.955, 36.9332, 143.600, -79.933, 6.08133e-05, 3.31024e+01, 329.428, 110.498, 11.092
0.115, -78.6937, 166.948, 36.9568, 143.617, -79.933, 6.08127e-05, 3.30915e+01, 329.313, 110.525, 11.103
0.115, -78.6941, 166.942, 36.9765, 143.617, -79.933, 6.08121e-05, 3.30823e+01, 329.217, 110.534, 11.107
0.115, -78.6942, 166.941, 36.9812, 143.617, -79.933, 6.08119e-05, 3.30800e+01, 329.194, 110.537, 11.108
0.115, -78.6948, 166.932, 36.9849, 143.633, -79.933, 6.08118e-05, 3.30667e+01, 329.056, 110.567, 11.120
0.116, -78.6954, 166.924, 36.9680, 143.650, -79.933, 6.08124e-05, 3.30542e+01, 328.927, 110.596, 11.132
0.116, -78.6955, 166.924, 36.9669, 143.650, -79.933, 6.08123e-05, 3.30533e+01, 328.918, 110.597, 11.132
0.116, -78.6960, 166.917, 36.9518, 143.667, -79.933, 6.08128e-05, 3.30422e+01, 328.803, 110.624, 11.144
0.117, -78.6966, 166.909, 36.9348, 143.683, -79.933, 6.08134e-05, 3.30296e+01, 328.674, 110.654, 11.156
0.117, -78.6971, 166.901, 36.9229, 143.700, -79.933, 6.08138e-05, 3.30171e+01, 328.546, 110.683, 11.168
0.117, -78.6977, 166.894, 36.9133, 143.700, -79.933, 6.08140e-05, 3.30043e+01, 328.416, 110.696, 11.173
0.117, -78.6979, 166.890, 36.9124, 143.717, -79.933, 6.08141e-05, 3.29990e+01, 328.361, 110.718, 11.183
