# mission day, lat, long, alt, (pressure?), horizon alts (deg), azimuth (deg)
0.100, -78.6884, 167.276, 36.9521, 3.924, 33.54971, 334.69973
0.100, -78.6885, 167.273, 36.9382, 3.897, 33.54824, 334.68170
0.101, -78.6885, 167.260, 36.8653, 3.951, 33.54061, 334.58217
0.101, -78.6886, 167.248, 36.8063, 3.961, 33.53050, 334.45196
0.101, -78.6886, 167.245, 36.8044, 3.951, 33.52559, 334.38849
0.101, -78.6886, 167.242, 36.8027, 3.973, 33.52117, 334.33137
0.102, -78.6887, 167.236, 36.7985, 3.966, 33.51018, 334.19105
0.102, -78.6887, 167.231, 36.8107, 3.958, 33.49981, 334.05832
0.102, -78.6887, 167.227, 36.8350, 3.932, 33.48953, 333.92729
0.102, -78.6887, 167.226, 36.8407, 3.932, 33.48713, 333.89680
0.103, -78.6887, 167.223, 36.8600, 3.900, 33.47894, 333.79312
0.103, -78.6887, 167.213, 36.9020, 3.873, 33.46123, 333.57005
0.103, -78.6887, 167.208, 36.9091, 3.868, 33.45846, 333.53527
0.104, -78.6886, 167.190, 36.9338, 3.893, 33.44905, 333.41648
0.104, -78.6886, 167.179, 36.9174, 3.922, 33.44004, 333.30427
0.104, -78.6886, 167.177, 36.9101, 3.907, 33.43859, 333.28635
0.104, -78.6886, 167.170, 36.8628, 3.949, 33.42874, 333.16422
0.105, -78.6886, 167.162, 36.8348, 3.971, 33.41851, 333.03811
0.105, -78.6886, 167.160, 36.8310, 3.961, 33.41578, 333.00442
0.105, -78.6886, 167.154, 36.8202, 3.983, 33.40792, 332.90809
0.105, -78.6886, 167.146, 36.8399, 3.985, 33.39664, 332.77018
0.106, -78.6886, 167.139, 36.8660, 3.976, 33.38771, 332.66155
0.106, -78.6885, 167.131, 36.9214, 3.954, 33.37649, 332.52445
0.106, -78.6885, 167.129, 36.9380, 3.966, 33.37351, 332.48842
0.106, -78.6885, 167.124, 36.9799, 3.924, 33.36595, 332.39736
0.107, -78.6885, 167.116, 36.9975, 3.895, 33.35513, 332.26742
0.107, -78.6885, 167.111, 37.0037, 3.910, 33.34861, 332.18939
0.107, -78.6884, 167.107, 37.0078, 3.878, 33.34438, 332.13778
0.107, -78.6884, 167.100, 36.9608, 3.875, 33.33407, 332.01509
0.108, -78.6884, 167.097, 36.9355, 3.875, 33.32904, 331.95534
0.108, -78.6884, 167.092, 36.9030, 3.890, 33.32248, 331.87772
0.108, -78.6885, 167.081, 36.8581, 3.912, 33.30506, 331.67363
0.109, -78.6886, 167.078, 36.8461, 3.934, 33.30032, 331.61910
0.109, -78.6886, 167.071, 36.8206, 3.944, 33.29044, 331.50353
0.109, -78.6887, 167.064, 36.8017, 3.946, 33.27879, 331.36876
0.110, -78.6889, 167.056, 36.8317, 3.951, 33.26749, 331.23986
0.110, -78.6891, 167.049, 36.8680, 3.946, 33.25626, 331.11224
0.110, -78.6891, 167.046, 36.8860, 3.946, 33.25262, 331.07028
0.111, -78.6897, 167.028, 36.9942, 3.905, 33.22416, 330.75076
0.111, -78.6900, 167.020, 37.0086, 3.888, 33.21153, 330.61020
0.112, -78.6906, 167.003, 36.9365, 3.888, 33.18689, 330.33811
0.112, -78.6909, 166.995, 36.8921, 3.897, 33.17606, 330.21962
0.113, -78.6914, 166.986, 36.8920, 3.907, 33.15866, 330.03045
0.113, -78.6918, 166.977, 36.8918, 3.929, 33.14282, 329.85855
0.114, -78.6922, 166.971, 36.8916, 3.929, 33.13074, 329.72899
0.114, -78.6922, 166.970, 36.8916, 3.927, 33.12941, 329.71438
0.114, -78.6932, 166.955, 36.9308, 3.912, 33.10358, 329.44057
0.114, -78.6933, 166.955, 36.9332, 3.922, 33.10238, 329.42844
0.115, -78.6937, 166.948, 36.9568, 3.902, 33.09147, 329.31339
0.115, -78.6941, 166.942, 36.9765, 3.902, 33.08227, 329.21725
0.115, -78.6942, 166.941, 36.9812, 3.895, 33.08005, 329.19405
0.115, -78.6948, 166.932, 36.9849, 3.895, 33.06674, 329.05578
0.116, -78.6954, 166.924, 36.9680, 3.897, 33.05423, 328.92664
0.116, -78.6955, 166.924, 36.9669, 3.895, 33.05334, 328.91806
0.116, -78.6960, 166.917, 36.9518, 3.902, 33.04220, 328.80312
0.117, -78.6966, 166.909, 36.9348, 3.912, 33.02957, 328.67362
0.117, -78.6971, 166.901, 36.9229, 3.915, 33.01712, 328.54570
0.117, -78.6977, 166.894, 36.9133, 3.917, 33.00434, 328.41558
0.117, -78.6979, 166.890, 36.9124, 3.917, 32.99899, 328.36083
0.118, -78.6983, 166.886, 36.9183, 3.915, 32.99195, 328.29009
0.118, -78.6988, 166.879, 36.9289, 3.905, 32.97946, 328.16310
0.118, -78.6993, 166.872, 36.9459, 3.897, 32.96637, 328.03027
0.118, -78.6995, 166.869, 36.9536, 3.905, 32.96064, 327.97213
0.119, -78.6997, 166.866, 36.9624, 3.895, 32.95408, 327.90536
0.119, -78.7006, 166.853, 36.9754, 3.893, 32.93064, 327.66964
0.119, -78.7006, 166.852, 36.9761, 3.895, 32.92874, 327.64997
0.120, -78.7011, 166.845, 36.9706, 3.900, 32.91642, 327.52702
0.120, -78.7013, 166.842, 36.9662, 3.900, 32.91119, 327.47479
0.120, -78.7016, 166.837, 36.9592, 3.907, 32.90280, 327.39110
0.120, -78.7021, 166.830, 36.9493, 3.912, 32.89010, 327.26510
0.121, -78.7024, 166.824, 36.9424, 3.912, 32.88120, 327.17666
0.121, -78.7025, 166.822, 36.9394, 3.915, 32.87719, 327.13661
0.121, -78.7030, 166.814, 36.9415, 3.915, 32.86359, 327.00236
0.121, -78.7035, 166.807, 36.9454, 3.912, 32.85087, 326.87758
0.122, -78.7039, 166.800, 36.9540, 3.907, 32.83878, 326.75865
0.122, -78.7043, 166.792, 36.9635, 3.902, 32.82567, 326.62989
0.122, -78.7048, 166.784, 36.9731, 3.905, 32.81209, 326.49769
0.123, -78.7052, 166.776, 36.9807, 3.902, 32.79928, 326.37289
0.123, -78.7057, 166.769, 36.9726, 3.907, 32.78656, 326.25019
0.123, -78.7058, 166.767, 36.9703, 3.905, 32.78301, 326.21565
0.123, -78.7061, 166.760, 36.9625, 3.910, 32.77307, 326.11949
0.124, -78.7067, 166.751, 36.9472, 3.919, 32.75958, 325.99083
0.124, -78.7069, 166.747, 36.9436, 3.915, 32.75208, 325.91832
0.125, -78.7074, 166.739, 36.9426, 3.919, 32.73333, 325.73787
0.125, -78.7075, 166.737, 36.9424, 3.922, 32.72966, 325.70260
0.125, -78.7078, 166.733, 36.9448, 3.919, 32.72002, 325.61064
0.125, -78.7083, 166.725, 36.9525, 3.912, 32.70610, 325.47865
0.125, -78.7085, 166.722, 36.9558, 3.915, 32.70011, 325.42188
0.126, -78.7087, 166.718, 36.9588, 3.905, 32.69282, 325.35256
0.126, -78.7092, 166.711, 36.9634, 3.895, 32.68022, 325.23435
0.126, -78.7097, 166.703, 36.9648, 3.895, 32.66657, 325.10632
0.126, -78.7098, 166.702, 36.9643, 3.895, 32.66499, 325.09184
0.127, -78.7103, 166.695, 36.9607, 3.897, 32.65308, 324.98108
0.127, -78.7111, 166.684, 36.9500, 3.897, 32.63453, 324.80932
0.127, -78.7116, 166.678, 36.9427, 3.919, 32.62463, 324.71859
0.128, -78.7127, 166.665, 36.9303, 3.924, 32.60211, 324.51253
0.128, -78.7129, 166.662, 36.9280, 3.932, 32.59762, 324.47144
0.128, -78.7136, 166.654, 36.9288, 3.932, 32.58390, 324.34678
0.129, -78.7143, 166.647, 36.9337, 3.932, 32.57150, 324.23504
0.129, -78.7144, 166.646, 36.9344, 3.924, 32.56968, 324.21864
0.129, -78.7155, 166.633, 36.9554, 3.912, 32.54822, 324.02524
0.129, -78.7159, 166.629, 36.9632, 3.897, 32.54136, 323.96393
0.130, -78.7165, 166.620, 36.9720, 3.888, 32.52730, 323.83689
0.130, -78.7171, 166.613, 36.9765, 3.885, 32.51534, 323.72990
0.130, -78.7172, 166.612, 36.9773, 3.885, 32.51338, 323.71234
0.130, -78.7177, 166.603, 36.9661, 3.897, 32.50003, 323.59193
0.131, -78.7184, 166.593, 36.9453, 3.910, 32.48317, 323.44082
0.131, -78.7184, 166.593, 36.9444, 3.900, 32.48245, 323.43421
0.131, -78.7188, 166.586, 36.9310, 3.927, 32.47160, 323.33695
0.131, -78.7194, 166.577, 36.9134, 3.941, 32.45739, 323.21043
0.132, -78.7196, 166.574, 36.9124, 3.934, 32.45163, 323.15893
0.132, -78.7199, 166.570, 36.9128, 3.951, 32.44408, 323.09185
0.132, -78.7204, 166.561, 36.9137, 3.949, 32.42932, 322.96030
0.133, -78.7209, 166.553, 36.9342, 3.946, 32.41470, 322.83042
0.133, -78.7214, 166.545, 36.9570, 3.934, 32.40025, 322.70251
0.133, -78.7219, 166.537, 36.9767, 3.934, 32.38734, 322.58899
0.133, -78.7219, 166.536, 36.9779, 3.922, 32.38665, 322.58270
0.134, -78.7224, 166.528, 36.9988, 3.910, 32.37294, 322.46222
0.134, -78.7229, 166.518, 36.9887, 3.907, 32.35784, 322.32955
0.134, -78.7231, 166.516, 36.9856, 3.910, 32.35387, 322.29529
0.134, -78.7234, 166.510, 36.9764, 3.907, 32.34405, 322.20912
0.135, -78.7238, 166.502, 36.9442, 3.907, 32.32996, 322.08558
0.135, -78.7238, 166.501, 36.9424, 3.912, 32.32921, 322.07888
0.135, -78.7242, 166.493, 36.9128, 3.922, 32.31578, 321.96157
0.135, -78.7247, 166.484, 36.8880, 3.924, 32.30040, 321.82794
0.135, -78.7248, 166.482, 36.8810, 3.924, 32.29604, 321.78980
0.136, -78.7251, 166.477, 36.8762, 3.929, 32.28520, 321.69565
0.136, -78.7255, 166.470, 36.8790, 3.929, 32.27066, 321.56957
0.136, -78.7257, 166.466, 36.8807, 3.929, 32.26171, 321.49179
0.136, -78.7259, 166.464, 36.8872, 3.922, 32.25619, 321.44438
0.137, -78.7263, 166.457, 36.9075, 3.917, 32.24126, 321.31565
0.137, -78.7264, 166.455, 36.9132, 3.917, 32.23703, 321.27909
0.137, -78.7267, 166.450, 36.9268, 3.907, 32.22674, 321.19082
0.138, -78.7274, 166.440, 36.9551, 3.907, 32.20439, 321.00004
0.138, -78.7282, 166.428, 36.9539, 3.917, 32.18151, 320.80609
0.138, -78.7286, 166.421, 36.9444, 3.917, 32.16741, 320.68640
0.138, -78.7287, 166.421, 36.9431, 3.927, 32.16613, 320.67599
0.139, -78.7291, 166.415, 36.9297, 3.934, 32.15375, 320.57151
0.139, -78.7297, 166.407, 36.9178, 3.941, 32.13772, 320.43715
0.139, -78.7298, 166.404, 36.9157, 3.934, 32.13210, 320.38934
0.139, -78.7302, 166.400, 36.9122, 3.937, 32.12241, 320.30869
0.140, -78.7307, 166.392, 36.9160, 3.934, 32.10719, 320.18132
0.140, -78.7307, 166.392, 36.9164, 3.937, 32.10674, 320.17747
0.140, -78.7311, 166.385, 36.9287, 3.932, 32.09274, 320.06021
0.140, -78.7316, 166.378, 36.9405, 3.927, 32.07691, 319.92836
0.141, -78.7320, 166.370, 36.9504, 3.924, 32.06124, 319.79754
0.141, -78.7321, 166.370, 36.9507, 3.924, 32.06066, 319.79334
0.141, -78.7325, 166.363, 36.9497, 3.922, 32.04615, 319.67269
0.142, -78.7329, 166.357, 36.9434, 3.924, 32.03174, 319.55332
0.142, -78.7331, 166.353, 36.9399, 3.919, 32.02488, 319.49666
0.142, -78.7333, 166.349, 36.9314, 3.924, 32.01605, 319.42339
0.142, -78.7337, 166.343, 36.9175, 3.924, 32.00167, 319.30484
0.143, -78.7341, 166.336, 36.9085, 3.927, 31.98890, 319.20015
0.143, -78.7342, 166.335, 36.9069, 3.924, 31.98532, 319.17075
0.143, -78.7346, 166.328, 36.9002, 3.922, 31.97058, 319.04986
0.143, -78.7348, 166.324, 36.8986, 3.924, 31.96314, 318.98899
0.143, -78.7349, 166.322, 36.9002, 3.919, 31.95487, 318.92055
0.144, -78.7351, 166.318, 36.9034, 3.915, 31.93802, 318.78135
0.144, -78.7353, 166.313, 36.9064, 3.912, 31.92251, 318.65368
0.144, -78.7354, 166.312, 36.9078, 3.915, 31.91540, 318.59538
0.144, -78.7355, 166.309, 36.9094, 3.912, 31.90706, 318.52691
0.145, -78.7358, 166.305, 36.9124, 3.915, 31.89094, 318.39555
0.145, -78.7358, 166.305, 36.9127, 3.912, 31.88940, 318.38282
0.145, -78.7367, 166.288, 36.9189, 3.917, 31.87691, 318.28575
0.145, -78.7377, 166.271, 36.9207, 3.917, 31.85663, 318.12551
0.146, -78.7384, 166.261, 36.9194, 3.924, 31.83363, 317.94151
0.146, -78.7385, 166.260, 36.9194, 3.927, 31.83020, 317.91411
0.146, -78.7389, 166.254, 36.9194, 3.924, 31.81800, 317.81706
0.147, -78.7394, 166.246, 36.9243, 3.922, 31.80076, 317.67986
0.147, -78.7397, 166.242, 36.9275, 3.924, 31.79297, 317.61841
0.147, -78.7400, 166.236, 36.9320, 3.919, 31.78235, 317.53407
0.147, -78.7405, 166.230, 36.9389, 3.917, 31.76738, 317.41597
0.148, -78.7408, 166.224, 36.9443, 3.917, 31.75576, 317.32398
0.148, -78.7409, 166.222, 36.9455, 3.919, 31.75004, 317.27843
0.148, -78.7414, 166.214, 36.9422, 3.919, 31.73484, 317.15904
0.148, -78.7417, 166.207, 36.9391, 3.919, 31.72076, 317.04779
0.148, -78.7418, 166.206, 36.9386, 3.924, 31.71877, 317.03236
0.149, -78.7422, 166.199, 36.9353, 3.927, 31.70344, 316.91193
0.149, -78.7426, 166.191, 36.9313, 3.927, 31.68729, 316.78527
0.149, -78.7427, 166.189, 36.9299, 3.927, 31.68321, 316.75322
0.150, -78.7430, 166.183, 36.9259, 3.929, 31.67160, 316.66249
0.150, -78.7434, 166.175, 36.9229, 3.927, 31.65480, 316.53129
0.150, -78.7437, 166.171, 36.9239, 3.927, 31.64545, 316.45881
0.150, -78.7438, 166.168, 36.9247, 3.924, 31.63842, 316.40365
0.151, -78.7442, 166.160, 36.9280, 3.924, 31.62305, 316.28442
0.151, -78.7443, 166.158, 36.9296, 3.924, 31.61863, 316.25011
0.151, -78.7446, 166.152, 36.9336, 3.922, 31.60722, 316.16175
0.151, -78.7450, 166.144, 36.9364, 3.922, 31.59086, 316.03528
0.151, -78.7453, 166.139, 36.9359, 3.922, 31.58068, 315.95704
0.152, -78.7454, 166.136, 36.9356, 3.924, 31.57491, 315.91229
0.152, -78.7459, 166.128, 36.9318, 3.929, 31.55890, 315.78975
0.152, -78.7463, 166.120, 36.9253, 3.927, 31.54259, 315.66449
0.153, -78.7468, 166.112, 36.9209, 3.939, 31.52543, 315.53357
0.153, -78.7470, 166.108, 36.9195, 3.939, 31.51761, 315.47384
0.153, -78.7473, 166.104, 36.9180, 3.941, 31.50927, 315.41073
0.153, -78.7477, 166.097, 36.9182, 3.944, 31.49307, 315.28719
0.154, -78.7481, 166.089, 36.9197, 3.946, 31.47691, 315.16438
0.154, -78.7484, 166.085, 36.9208, 3.944, 31.46813, 315.09821
0.154, -78.7487, 166.081, 36.9223, 3.946, 31.45924, 315.03130
0.154, -78.7492, 166.073, 36.9252, 3.951, 31.44240, 314.90437
0.154, -78.7492, 166.072, 36.9254, 3.949, 31.44085, 314.89240
0.155, -78.7497, 166.065, 36.9230, 3.949, 31.42613, 314.78205
0.155, -78.7502, 166.058, 36.9193, 3.944, 31.41023, 314.66291
0.155, -78.7505, 166.054, 36.9174, 3.944, 31.40198, 314.60141
0.155, -78.7508, 166.049, 36.9152, 3.941, 31.39286, 314.53333
0.156, -78.7513, 166.042, 36.9117, 3.944, 31.37785, 314.42153
0.156, -78.7519, 166.033, 36.9030, 3.949, 31.36101, 314.29659
0.156, -78.7519, 166.033, 36.9029, 3.944, 31.36076, 314.29468
0.156, -78.7525, 166.024, 36.8915, 3.946, 31.34273, 314.16097
0.157, -78.7530, 166.016, 36.8844, 3.949, 31.32671, 314.04229
0.157, -78.7536, 166.007, 36.8773, 3.951, 31.30932, 313.91399
0.157, -78.7540, 166.000, 36.8762, 3.951, 31.29596, 313.81528
0.158, -78.7546, 165.990, 36.8758, 3.949, 31.27677, 313.67395
0.158, -78.7551, 165.981, 36.8780, 3.949, 31.26031, 313.55300
0.158, -78.7551, 165.981, 36.8782, 3.949, 31.25909, 313.54382
0.159, -78.7556, 165.972, 36.8808, 3.944, 31.24377, 313.43167
0.159, -78.7561, 165.963, 36.8823, 3.941, 31.22675, 313.30692
0.159, -78.7565, 165.954, 36.8835, 3.941, 31.20980, 313.18253
0.159, -78.7566, 165.953, 36.8836, 3.941, 31.20829, 313.17180
0.160, -78.7569, 165.944, 36.8810, 3.941, 31.19339, 313.06232
0.160, -78.7572, 165.938, 36.8789, 3.941, 31.18295, 312.98632
0.160, -78.7574, 165.934, 36.8775, 3.937, 31.17589, 312.93490
0.160, -78.7577, 165.925, 36.8753, 3.937, 31.15990, 312.81783
0.161, -78.7580, 165.915, 36.8731, 3.937, 31.14252, 312.69076
0.161, -78.7581, 165.911, 36.8721, 3.937, 31.13472, 312.63360
0.161, -78.7583, 165.906, 36.8710, 3.934, 31.12590, 312.56954
0.161, -78.7586, 165.897, 36.8694, 3.929, 31.10930, 312.44872
0.161, -78.7586, 165.894, 36.8707, 3.932, 31.10429, 312.41184
0.162, -78.7588, 165.887, 36.8738, 3.924, 31.09236, 312.32513
0.162, -78.7590, 165.877, 36.8781, 3.919, 31.07585, 312.20500
0.162, -78.7591, 165.872, 36.8807, 3.924, 31.06710, 312.14134
0.163, -78.7596, 165.851, 36.8896, 3.919, 31.03008, 311.87332
0.163, -78.7596, 165.850, 36.8898, 3.915, 31.02897, 311.86524
0.163, -78.7599, 165.839, 36.8929, 3.915, 31.01017, 311.72994
0.164, -78.7601, 165.829, 36.8948, 3.915, 30.99158, 311.59585
0.164, -78.7601, 165.829, 36.8949, 3.915, 30.99058, 311.58861
0.167, -78.7611, 165.734, 36.9447, 3.917, 30.82118, 310.37686
0.168, -78.7611, 165.724, 36.9457, 3.922, 30.80395, 310.25440
0.169, -78.7611, 165.687, 36.9497, 3.929, 30.73484, 309.76594
0.169, -78.7611, 165.679, 36.9506, 3.932, 30.71952, 309.65824
0.169, -78.7611, 165.677, 36.9507, 3.929, 30.71739, 309.64327
0.170, -78.7611, 165.663, 36.9522, 3.932, 30.69083, 309.45691
0.170, -78.7611, 165.659, 36.9527, 3.932, 30.68249, 309.39853
0.170, -78.7610, 165.649, 36.9486, 3.934, 30.66398, 309.26867
0.171, -78.7609, 165.641, 36.9440, 3.934, 30.64998, 309.17048
0.171, -78.7609, 165.639, 36.9428, 3.932, 30.64642, 309.14567
0.171, -78.7607, 165.629, 36.9369, 3.934, 30.62889, 309.02267
0.171, -78.7606, 165.620, 36.9317, 3.934, 30.61319, 308.91309
0.171, -78.7605, 165.618, 36.9304, 3.932, 30.60941, 308.88634
0.172, -78.7604, 165.610, 36.9257, 3.937, 30.59511, 308.78671
0.172, -78.7602, 165.601, 36.9208, 3.934, 30.57832, 308.66955
0.172, -78.7602, 165.597, 36.9188, 3.934, 30.57104, 308.61920
0.173, -78.7599, 165.576, 36.9134, 3.941, 30.53253, 308.35222
0.174, -78.7597, 165.551, 36.9126, 3.946, 30.49150, 308.06956
0.174, -78.7595, 165.534, 36.9126, 3.946, 30.46254, 307.87056
0.175, -78.7594, 165.510, 36.9130, 3.944, 30.42097, 307.58675
0.176, -78.7592, 165.494, 36.9095, 3.944, 30.39128, 307.38425
0.177, -78.7585, 165.450, 36.8904, 3.963, 30.31013, 306.83330
0.178, -78.7581, 165.426, 36.8914, 3.973, 30.26821, 306.55031
0.179, -78.7575, 165.403, 36.8916, 3.961, 30.22909, 306.28631
0.179, -78.7571, 165.388, 36.8893, 3.946, 30.20173, 306.10236
0.180, -78.7565, 165.365, 36.8802, 3.954, 30.16215, 305.83710
0.181, -78.7558, 165.342, 36.8646, 3.966, 30.11998, 305.55532
0.182, -78.7550, 165.313, 36.8595, 3.958, 30.06405, 305.18397
0.182, -78.7549, 165.303, 36.8686, 3.949, 30.04549, 305.06193
0.183, -78.7547, 165.293, 36.8781, 3.941, 30.02593, 304.93309
0.183, -78.7545, 165.283, 36.8875, 3.937, 30.00617, 304.80315
0.183, -78.7543, 165.276, 36.8852, 3.937, 29.99408, 304.72351
0.184, -78.7543, 165.273, 36.8843, 3.937, 29.98880, 304.68903
0.184, -78.7541, 165.263, 36.8807, 3.941, 29.97070, 304.57046
0.184, -78.7539, 165.254, 36.8722, 3.944, 29.95196, 304.44781
0.184, -78.7538, 165.253, 36.8717, 3.941, 29.95091, 304.44055
0.185, -78.7536, 165.244, 36.8640, 3.951, 29.93387, 304.32924
0.185, -78.7533, 165.230, 36.8521, 3.951, 29.90758, 304.15775
0.186, -78.7528, 165.215, 36.8674, 3.949, 29.88121, 303.98541
0.186, -78.7527, 165.214, 36.8687, 3.954, 29.87985, 303.97626
0.186, -78.7524, 165.202, 36.8859, 3.941, 29.86128, 303.85536
0.186, -78.7520, 165.190, 36.9037, 3.932, 29.84198, 303.72955
0.186, -78.7519, 165.187, 36.9087, 3.937, 29.83657, 303.69436
0.187, -78.7517, 165.181, 36.9165, 3.929, 29.82304, 303.60672
0.187, -78.7515, 165.177, 36.9185, 3.932, 29.80543, 303.49298
0.188, -78.7512, 165.165, 36.9108, 3.932, 29.77614, 303.30433
0.188, -78.7509, 165.152, 36.8959, 3.956, 29.75076, 303.14114
0.188, -78.7506, 165.143, 36.8850, 3.966, 29.73198, 303.02030
0.189, -78.7503, 165.132, 36.8785, 3.976, 29.71115, 302.88660
0.189, -78.7500, 165.122, 36.8795, 3.978, 29.69218, 302.76499
0.189, -78.7499, 165.121, 36.8795, 3.976, 29.69116, 302.75811
0.189, -78.7496, 165.111, 36.8893, 3.980, 29.67181, 302.63429
0.190, -78.7494, 165.104, 36.8986, 3.978, 29.65982, 302.55760
0.190, -78.7489, 165.090, 36.9093, 3.971, 29.63479, 302.39745
0.191, -78.7485, 165.080, 36.9121, 3.973, 29.61547, 302.27404
0.191, -78.7483, 165.074, 36.9134, 3.971, 29.60611, 302.21434
0.191, -78.7482, 165.070, 36.9146, 3.973, 29.59809, 302.16344
0.191, -78.7477, 165.057, 36.9142, 3.980, 29.57457, 302.01359
0.192, -78.7474, 165.050, 36.8982, 3.988, 29.56045, 301.92387
0.192, -78.7470, 165.039, 36.8758, 3.998, 29.54096, 301.80010
0.192, -78.7468, 165.034, 36.8647, 3.998, 29.53013, 301.73156
0.192, -78.7465, 165.029, 36.8556, 4.007, 29.52132, 301.67530
0.193, -78.7461, 165.020, 36.8381, 4.017, 29.50257, 301.55662
0.193, -78.7457, 165.010, 36.8339, 4.020, 29.48336, 301.43526
0.193, -78.7452, 164.997, 36.8321, 4.022, 29.46582, 301.32412
0.194, -78.7448, 164.986, 36.8372, 4.022, 29.44673, 301.20388
0.194, -78.7445, 164.980, 36.8406, 4.022, 29.43141, 301.10763
0.194, -78.7445, 164.979, 36.8411, 4.020, 29.42912, 301.09337
0.194, -78.7442, 164.970, 36.8429, 4.017, 29.40905, 300.96778
0.194, -78.7441, 164.965, 36.8401, 4.017, 29.39921, 300.90647
0.195, -78.7439, 164.959, 36.8369, 4.017, 29.38832, 300.83833
0.195, -78.7436, 164.949, 36.8272, 4.020, 29.36994, 300.72353
0.195, -78.7434, 164.940, 36.8124, 4.020, 29.35439, 300.62681
0.195, -78.7433, 164.939, 36.8097, 4.027, 29.35153, 300.60878
0.196, -78.7430, 164.929, 36.7916, 4.037, 29.33218, 300.48846
0.196, -78.7427, 164.918, 36.7718, 4.042, 29.31062, 300.35465
0.196, -78.7427, 164.917, 36.7704, 4.032, 29.30915, 300.34563
0.196, -78.7424, 164.909, 36.7600, 4.054, 29.29379, 300.25012
0.197, -78.7422, 164.903, 36.7535, 4.042, 29.27985, 300.16381
0.197, -78.7420, 164.899, 36.7505, 4.046, 29.27370, 300.12537
0.197, -78.7417, 164.890, 36.7474, 4.039, 29.25457, 300.00710
0.197, -78.7414, 164.881, 36.7481, 4.039, 29.23469, 299.88437
0.197, -78.7414, 164.881, 36.7481, 4.037, 29.23469, 299.88437
0.198, -78.7411, 164.872, 36.7504, 4.032, 29.21607, 299.76952
0.198, -78.7408, 164.863, 36.7536, 4.024, 29.19700, 299.65206
0.198, -78.7407, 164.858, 36.7541, 4.027, 29.18629, 299.58644
0.199, -78.7405, 164.853, 36.7518, 4.024, 29.17672, 299.52748
0.199, -78.7403, 164.842, 36.7465, 4.027, 29.15538, 299.39697
0.199, -78.7401, 164.834, 36.7366, 4.029, 29.13865, 299.29463
0.200, -78.7399, 164.823, 36.7207, 4.037, 29.11640, 299.15895
0.200, -78.7397, 164.814, 36.7130, 4.039, 29.09740, 299.04317
0.200, -78.7395, 164.806, 36.7069, 4.039, 29.07908, 298.93159
0.200, -78.7394, 164.802, 36.7055, 4.042, 29.07070, 298.88066
0.201, -78.7391, 164.789, 36.7055, 4.037, 29.04000, 298.69434
0.201, -78.7390, 164.783, 36.7055, 4.034, 29.02418, 298.59866
0.201, -78.7389, 164.781, 36.7055, 4.034, 29.01865, 298.56500
0.202, -78.7387, 164.773, 36.7055, 4.032, 28.99776, 298.43867
0.202, -78.7385, 164.765, 36.7201, 4.029, 28.98019, 298.33242
0.202, -78.7385, 164.765, 36.7209, 4.032, 28.97920, 298.32649
0.202, -78.7382, 164.755, 36.7394, 4.034, 28.95574, 298.18478
0.203, -78.7381, 164.749, 36.7353, 4.037, 28.94133, 298.09811
0.203, -78.7380, 164.746, 36.7331, 4.034, 28.93377, 298.05254
0.203, -78.7378, 164.741, 36.7294, 4.037, 28.92102, 297.97555
0.203, -78.7376, 164.732, 36.7244, 4.039, 28.90087, 297.85450
0.203, -78.7375, 164.731, 36.7236, 4.039, 28.89773, 297.83545
0.204, -78.7373, 164.723, 36.7192, 4.039, 28.87937, 297.72524
0.204, -78.7370, 164.715, 36.7145, 4.044, 28.85973, 297.60724
0.204, -78.7368, 164.707, 36.7098, 4.044, 28.84002, 297.48930
0.204, -78.7367, 164.706, 36.7092, 4.039, 28.83775, 297.47545
0.205, -78.7361, 164.687, 36.7228, 4.039, 28.80355, 297.27046
0.205, -78.7361, 164.686, 36.7231, 4.042, 28.80048, 297.25221
0.205, -78.7358, 164.680, 36.7254, 4.044, 28.77965, 297.12782
0.206, -78.7356, 164.674, 36.7277, 4.046, 28.75919, 297.00608
0.206, -78.7354, 164.667, 36.7238, 4.044, 28.74152, 296.90095
0.206, -78.7354, 164.666, 36.7230, 4.046, 28.73793, 296.87977
0.206, -78.7351, 164.658, 36.7183, 4.049, 28.71757, 296.75861
0.207, -78.7350, 164.656, 36.7167, 4.049, 28.71062, 296.71730
0.207, -78.7349, 164.651, 36.7136, 4.049, 28.69709, 296.63725
0.207, -78.7347, 164.644, 36.7093, 4.046, 28.67558, 296.51001
0.207, -78.7346, 164.639, 36.7085, 4.046, 28.66291, 296.43516
0.208, -78.7345, 164.637, 36.7082, 4.042, 28.65776, 296.40461
0.208, -78.7344, 164.630, 36.7072, 4.042, 28.63673, 296.28079
0.208, -78.7343, 164.627, 36.7075, 4.042, 28.62835, 296.23131
0.208, -78.7342, 164.623, 36.7079, 4.039, 28.61604, 296.15881
0.209, -78.7341, 164.616, 36.7083, 4.037, 28.59509, 296.03578
0.209, -78.7341, 164.608, 36.7058, 4.034, 28.57545, 295.92090
0.209, -78.7341, 164.606, 36.7050, 4.037, 28.56904, 295.88341
0.209, -78.7340, 164.600, 36.7031, 4.037, 28.55463, 295.79896
0.210, -78.7341, 164.592, 36.6982, 4.032, 28.53307, 295.67345
0.210, -78.7341, 164.588, 36.6952, 4.037, 28.51996, 295.59704
0.210, -78.7342, 164.580, 36.6924, 4.022, 28.49938, 295.47748
